OC_Tissue,OC_Source,0
Breast,OCP,5543
Colorectal,OCP,3074
Brain,OCP,3054
Lung,OCP,2243
Ovary,OCP,1143
Breast,TCGA,1093
Lung,TCGA,1018
Stomach,OCP,920
Kidney,TCGA,891
Brain,TCGA,696
HeadAndNeck,OCP,622
Stomach,TCGA,599
Uterus,TCGA,538
HeadAndNeck,TCGA,520
Thyroid,TCGA,501
Prostate,TCGA,497
Liver,OCP,413
Bladder,TCGA,408
Colorectal,TCGA,381
Liver,TCGA,373
Kidney,OCP,356
Uterus,OCP,322
AdrenalGland,OCP,311
Bladder,OCP,310
Ovary,TCGA,307
Thyroid,OCP,298
Skin,OCP,294
AdrenalGland,TCGA,261
Prostate,OCP,247
Pancreas,OCP,207
BileDuct,OCP,184
Pancreas,TCGA,178
Skin,TCGA,103
BileDuct,TCGA,36
